Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
USA,https://open.spotify.com/track/0tNLYxhxOlguHcRnDlhjWP,66.4,kept me crying,HAIM,album,art pop,980800,FALSE,Something To Tell You,42923,7,11,0.659,0.579,7,-7.885,1,0.0416,0.0728,0.00000914,0.105,0.711,135.012,235813,3,pop,1226,1,118,0,0,english speaking and nordic
USA,https://open.spotify.com/track/19m3E0nMZobyA93AxMXC32,64.8,im still,Juice WRLD,album,chicago rap,13266070,TRUE,Goodbye & Good Riddance,43444,13,17,0.631,0.672,11,-4.583,1,0.0347,0.0811,0,0.154,0.282,119.948,192859,4,rap,705,1,120,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2Jv5zlZ7iCZP7K1j26izha,210.6,5 year plan,Chance the Rapper - Randy Newman,album,chicago rap,5045736,FALSE,The Big Day,43672,15,22,0.672,0.598,10,-8.268,1,0.319,0.773,0.00000166,0.355,0.466,84.017,257816,4,rap,477,1,69,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7ssFG94tZHpX9vbIFM0GVH,21.6,no excuses,NF,album,hip hop,4425041,FALSE,The Search,43672,14,20,0.727,0.642,1,-4.915,1,0.087,0.0291,0,0.0815,0.351,162.935,201720,4,hip hop,477,1,174,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5eU0KDvZVfFl4ehleRwGGF,487.35,sick and tired,iann dior - Machine Gun Kelly - Travis Barker,single,melodic rap,811136,FALSE,Sick and Tired,43938,1,1,0.747,0.495,11,-8.584,1,0.0491,0.151,0,0.146,0.489,145.095,144000,4,rap,211,1,86,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5mJAediEZEv8KKpWxrNIqf,127.2,legacy,Logic,album,conscious hip hop,5004777,TRUE,YSIV,43371,12,14,0.692,0.791,7,-3.508,1,0.274,0.425,0,0.138,0.638,88,351840,4,hip hop,778,1,102,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7BxpObs6K7Yio5lVb3sMYX,316,g walk,Lil Mosey - Chris Brown,album,melodic rap,2945049,TRUE,Certified Hitmaker,43777,12,14,0.747,0.704,0,-6.81,1,0.0674,0.261,0,0.11,0.653,90.041,141467,4,rap,372,1,117,0,0,english speaking and nordic
USA,https://open.spotify.com/track/6Ur6u4Ici7NYBiuGEEkNMP,267.5,flooded,Lil Skies,album,melodic rap,4514676,TRUE,Shelby,43525,5,14,0.714,0.636,8,-5.286,1,0.201,0.36,0,0.112,0.52,166.049,115722,4,rap,624,1,83,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2O2l5DJirlZAwLwpOAVbXR,7.2,the bends,Earl Sweatshirt,album,alternative hip hop,1310775,TRUE,Some Rap Songs,43434,8,15,0.512,0.576,8,-4.238,0,0.283,0.0381,0.0365,0.198,0.319,75.978,94547,4,hip hop,715,1,192,0,0,english speaking and nordic
USA,https://open.spotify.com/track/0KS2h61pHQ4WmOwruD7uxD,68.8,damage,H.E.R.,single,alternative r&b,3063486,FALSE,Damage,44125,1,1,0.646,0.696,1,-6.505,1,0.065,0.113,0,0.115,0.18,81.336,223415,4,r&b/soul,24,1,115,0,0,english speaking and nordic
