"images","followers","popularity","name","genre","id","artist_id"
"https://i.scdn.co/image/ab6761610000e5eb4e3dee8baac75dad1fea791e","4264095","76","PARTYNEXTDOOR","pop","2HPaUgqeutzr3jx5a9WyDV","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb7a528fcb316c5b58d6be0511","3719712","75","6LACK","atl hip hop","4IVAbR2w4JJNJDDRFP3E83","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428","6079846","79","Bryson Tiller","kentucky hip hop","2EMAnMvWE2eb56ToJVfCWs","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5ebd33d15c40225052c58d9eef6","764767","67","Majid Jordan","canadian contemporary r&b","4HzKw8XcD0piJmDrrPRCYk","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb2749cce858c97642feda7a92","2850516","81","Brent Faiyaz","dmv rap","3tlXnStJ1fFhdScmQeLpuG","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb09d815048b9b89b78b8a26ad","5961141","74","Jeremih","chicago rap","3KV3p5EY4AvKxOlhGHORLg","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb1e6fc2fbb30e69d499cabd46","908850","61","Roy Woods","canadian contemporary r&b","7mDU6nMUJnOSY2Hkjz5oqM","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5ebbd09edfd2babfc9fd2ba748e","3534415","77","Daniel Caesar","canadian contemporary r&b","20wkVLutqVOYrc0kxFs7rA","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb02eeb5305fa7bdd9ddca42fc","4242412","77","Miguel","dance pop","360IAlyVv4PCEVjgyMZrxK","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb31072db9da0311ecfabe96bf","15578140","86","Khalid","pop","6LuN9FCkKOj5PcnpouEgny","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb529f2198b3e9e77c0d5a665b","8584238","82","SZA","pop","7tYKF4w9nC0nq9CsPZTHyP","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5ebbd5d3e1b363c3e26710661c3","4719939","81","Tory Lanez","canadian hip hop","2jku7tDXc6XoB6MO2hFuqg","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb9f9eab124df9f1ff148ebfe5","5899149","77","Jhené Aiko","pop","5ZS223C6JyBfXasXxrRqOk","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb7b05445e212ac49d9ed4c310","5628499","75","H.E.R.","pop","3Y7RZ31TRPVadSFVy1o8os","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5ebb99b82c644fb2a558dc28cd4","2323209","78","Don Toliver","pop","4Gso3d4CscCijv0lmajZWs","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb72a8e86c457085e7fdd3453f","5182355","74","Bazzi","dance pop","4GvEc3ANtPPjt1ZJllr5Zl","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb4714179bf23941c0aec4b474","4194242","79","Summer Walker","pop","57LYzLEk2LcFghVwuWbcuS","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5eb41c31bcb75f9f1817e597041","3857975","79","Chase Atlantic","pop","7cYEt1pqMgXJdq00hAwVpT","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1","10120765","83","Frank Ocean","hip hop","2h93pZq0e7k5yf4dywlkpM","1Xyo4u8uXC1ZmMpatF05PJ"
"https://i.scdn.co/image/ab6761610000e5ebf276b6e4b25bb6fb7b942ab2","3115907","77","NAV","canadian hip hop","7rkW85dBwwrJtlHRDkJDAC","1Xyo4u8uXC1ZmMpatF05PJ"
