end,start,tweet_count,name,artist_id
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,1870,Bad Bunny,22q3ewBCX7sLwd24euuV69X
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,5405,Bad Bunny,23q3ewBCX7sLwd24euuV69X
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,2041,Bad Bunny,24q3ewBCX7sLwd24euuV69X
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,1436,Bad Bunny,25q3ewBCX7sLwd24euuV69X
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,1325,Bad Bunny,26q3ewBCX7sLwd24euuV69X
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,2132,Bad Bunny,27q3ewBCX7sLwd24euuV69X
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,1467,Bad Bunny,28q3ewBCX7sLwd24euuV69X
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,1634,Bad Bunny,29q3ewBCX7sLwd24euuV69X
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,2527,Bad Bunny,30q3ewBCX7sLwd24euuV69X
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,2190,Bad Bunny,31q3ewBCX7sLwd24euuV69X
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,1715,Bad Bunny,32q3ewBCX7sLwd24euuV69X
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,1900,Bad Bunny,33q3ewBCX7sLwd24euuV69X
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,1953,Bad Bunny,34q3ewBCX7sLwd24euuV69X
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,1005,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,1390,Brent Faiyaz,4tlXnStJ1fFhdScmQeLpuG
