"duration_ms","release_date","artists_id","name","artists_name","id","artist_id"
"167303","2022-05-20","6KImCVD70vtIoJWnq6nGn3","As It Was","Harry Styles","4Dvkj6JhhA12EX05fT7y2e","6KImCVD70vtIoJWnq6nGn3"
"177954","2022-05-20","6KImCVD70vtIoJWnq6nGn3","Late Night Talking","Harry Styles","1qEmFfgcLObUfQm0j1W2CK","6KImCVD70vtIoJWnq6nGn3"
"174000","2019-12-13","6KImCVD70vtIoJWnq6nGn3","Watermelon Sugar","Harry Styles","6UelLqGlWMcVH1E5c4H7lY","6KImCVD70vtIoJWnq6nGn3"
"245964","2022-05-20","6KImCVD70vtIoJWnq6nGn3","Matilda","Harry Styles","6uvh0In7u1Xn4HgxOfAn8O","6KImCVD70vtIoJWnq6nGn3"
"207133","2019-12-13","6KImCVD70vtIoJWnq6nGn3","Adore You","Harry Styles","3jjujdWJ72nww5eGnfs2E7","6KImCVD70vtIoJWnq6nGn3"
"240133","2019-12-13","6KImCVD70vtIoJWnq6nGn3","Falling","Harry Styles","1ZMiCix7XSAbfAJlEZWMCp","6KImCVD70vtIoJWnq6nGn3"
"193813","2022-05-20","6KImCVD70vtIoJWnq6nGn3","Music For a Sushi Restaurant","Harry Styles","5LYMamLv12UPbemOaTPyeV","6KImCVD70vtIoJWnq6nGn3"
"340706","2017-05-12","6KImCVD70vtIoJWnq6nGn3","Sign of the Times","Harry Styles","5Ohxk2dO5COHF1krpoPigN","6KImCVD70vtIoJWnq6nGn3"
"164533","2022-05-20","6KImCVD70vtIoJWnq6nGn3","Daylight","Harry Styles","51Zw1cKDgkad0CXv23HCMU","6KImCVD70vtIoJWnq6nGn3"
"202183","2022-05-20","6KImCVD70vtIoJWnq6nGn3","Little Freak","Harry Styles","3i058E8uxTsYqJ5NWZzqSj","6KImCVD70vtIoJWnq6nGn3"
