"duration_ms","release_date","artists_id","name","artists_name","id","artist_id"
"178567","2022-05-06","4q3ewBCX7sLwd24euuV69X","Me Porto Bonito","Bad Bunny","6Sq7ltF9Qa7SNFBsV5Cogx","4q3ewBCX7sLwd24euuV69X"
"243716","2022-05-06","4q3ewBCX7sLwd24euuV69X","Tití Me Preguntó","Bad Bunny","1IHWl5LamUGEuP4ozKQSXZ","4q3ewBCX7sLwd24euuV69X"
"213061","2022-05-06","4q3ewBCX7sLwd24euuV69X","Efecto","Bad Bunny","5Eax0qFko2dh7Rl2lYs3bx","4q3ewBCX7sLwd24euuV69X"
"258298","2022-05-06","4q3ewBCX7sLwd24euuV69X","Ojitos Lindos","Bad Bunny","3k3NWokhRRkEPhCzPmV8TW","4q3ewBCX7sLwd24euuV69X"
"245939","2022-05-06","4q3ewBCX7sLwd24euuV69X","Moscow Mule","Bad Bunny","6Xom58OOXk2SoU711L2IXO","4q3ewBCX7sLwd24euuV69X"
"173119","2022-05-06","4q3ewBCX7sLwd24euuV69X","Neverita","Bad Bunny","31i56LZnwE6uSu3exoHjtB","4q3ewBCX7sLwd24euuV69X"
"237894","2022-05-06","4q3ewBCX7sLwd24euuV69X","Tarot","Bad Bunny","41oY4WCTj5kccfesTVFnvN","4q3ewBCX7sLwd24euuV69X"
"227628","2022-05-06","4q3ewBCX7sLwd24euuV69X","Party","Bad Bunny","4tYFy8ALRjIZvnvSLw5lxN","4q3ewBCX7sLwd24euuV69X"
"198367","2022-05-06","4q3ewBCX7sLwd24euuV69X","La Corriente","Bad Bunny","1797zYiX4cKosMH836X9Gt","4q3ewBCX7sLwd24euuV69X"
"242573","2019-06-28","1vyhD5VmyZ7KMfW5gqLgo5","LA CANCIÓN","J Balvin","0fea68AdmYNygeTGI4RC18","4q3ewBCX7sLwd24euuV69X"
