"duration_ms","release_date","artists_id","name","artists_name","id","artist_id"
"148485","2022-05-13","5Pwc4xIPtQLFEnJriah9YJ","I Ain't Worried","OneRepublic","4h9wh7iOZ0GGn8QVp4RAOB","5Pwc4xIPtQLFEnJriah9YJ"
"257839","2014-01-01","5Pwc4xIPtQLFEnJriah9YJ","Counting Stars","OneRepublic","6sy3LkhNFjJWlaeSMNwQ62","5Pwc4xIPtQLFEnJriah9YJ"
"163854","2021-11-10","5Pwc4xIPtQLFEnJriah9YJ","Sunshine","OneRepublic","5r43qanLhUCdBj8HN3fa6B","5Pwc4xIPtQLFEnJriah9YJ"
"192947","2022-02-25","5Pwc4xIPtQLFEnJriah9YJ","West Coast","OneRepublic","0sBJA2OCEECMs0HsdIQhvR","5Pwc4xIPtQLFEnJriah9YJ"
"224693","2009-01-01","5Pwc4xIPtQLFEnJriah9YJ","Secrets","OneRepublic","1NhPKVLsHhFUHIOZ32QnS2","5Pwc4xIPtQLFEnJriah9YJ"
"187888","2021-08-27","5Pwc4xIPtQLFEnJriah9YJ","Someday","OneRepublic","6aDsgHPZsMztSbZernzlF8","5Pwc4xIPtQLFEnJriah9YJ"
"168259","2021-08-27","5Pwc4xIPtQLFEnJriah9YJ","Run","OneRepublic","6KL88T4Ma4ABXqzgUoEwkd","5Pwc4xIPtQLFEnJriah9YJ"
"208106","2007-01-01","5Pwc4xIPtQLFEnJriah9YJ","Apologize","OneRepublic","1NrJYpdAi7uosDRPmSYrsG","5Pwc4xIPtQLFEnJriah9YJ"
"253306","2009-01-01","5Pwc4xIPtQLFEnJriah9YJ","Good Life","OneRepublic","6OtCIsQZ64Vs1EbzztvAv4","5Pwc4xIPtQLFEnJriah9YJ"
"199549","2020-05-29","23fqKkggKUBHNkbKtXEls4","Lose Somebody","Kygo","1sgDyuLooyvEML4oHspNza","5Pwc4xIPtQLFEnJriah9YJ"
