"duration_ms","release_date","artists_id","name","artists_name","id","artist_id"
"200040","2020-03-20","1Xyo4u8uXC1ZmMpatF05PJ","Blinding Lights","The Weeknd","0VjIjW4GlUZAMYd2vXMi3b","1Xyo4u8uXC1ZmMpatF05PJ"
"241066","2018-03-30","1Xyo4u8uXC1ZmMpatF05PJ","I Was Never There","The Weeknd","1cKHdTo9u0ZymJdPGSh6nq","1Xyo4u8uXC1ZmMpatF05PJ"
"230453","2016-11-25","1Xyo4u8uXC1ZmMpatF05PJ","Starboy","The Weeknd","7MXVkk9YMctZqd1Srtv4MB","1Xyo4u8uXC1ZmMpatF05PJ"
"228373","2018-03-30","1Xyo4u8uXC1ZmMpatF05PJ","Call Out My Name","The Weeknd","09mEdoA6zrmBPgTEN5qXmN","1Xyo4u8uXC1ZmMpatF05PJ"
"215626","2020-03-20","1Xyo4u8uXC1ZmMpatF05PJ","Save Your Tears","The Weeknd","5QO79kh1waicV47BqGRL3g","1Xyo4u8uXC1ZmMpatF05PJ"
"260253","2016-11-24","1Xyo4u8uXC1ZmMpatF05PJ","Die For You","The Weeknd","2LBqCSwhJGcFQeTHMVGwy3","1Xyo4u8uXC1ZmMpatF05PJ"
"242253","2015-08-28","1Xyo4u8uXC1ZmMpatF05PJ","The Hills","The Weeknd","7fBv7CLKzipRk6EC6TWHOB","1Xyo4u8uXC1ZmMpatF05PJ"
"202093","2019-03-08","3hteYQFiMFbJY7wS0xDymP","Lost in the Fire (feat. The Weeknd)","Gesaffelstein","2vXKRlJBXyOcvZYTdNeckS","1Xyo4u8uXC1ZmMpatF05PJ"
"191013","2020-03-20","1Xyo4u8uXC1ZmMpatF05PJ","Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd","1oFAF1hdPOickyHgbuRjyX","1Xyo4u8uXC1ZmMpatF05PJ"
"186173","2021-06-25","5cj0lLjcoR7YOSnhnX0Po5","You Right","Doja Cat","0k4d5YPDr1r7FX77VdqWez","1Xyo4u8uXC1ZmMpatF05PJ"
